inp,output,flag,username,timestamp
"{""path"":""flagged\\inp\\3bce048bdc69a44fcc77\\OIP.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\PC\\AppData\\Local\\Temp\\gradio\\25bcd7c125e4d1a4a9cd093aeca39fad22c9c22d\\OIP.jpg"",""size"":29147,""orig_name"":""OIP.jpg"",""mime_type"":"""",""is_stream"":false}","{""label"":""dog"",""confidences"":[{""label"":""dog"",""confidence"":0.7},{""label"":""cat"",""confidence"":0.3}]}",,,2024-02-13 16:30:34.455807
,,,2024-02-13 16:38:57.335038
